Treatment,Area,Sample,pH
Agricultural,SW1,sw1_1,3.7
Agricultural,SW1,sw1_2,4.2
Agricultural,SW1,sw1_3,4.0
Agricultural,SW1,sw1_4,5.0
Agricultural,SW1,sw1_5,4.1
Agricultural,SW2,sw2_1,5.3
Agricultural,SW2,sw2_2,5.8
Agricultural,SW2,sw2_3,3.9
Agricultural,SW2,sw2_4,4.7
Agricultural,SW2,sw2_5,4.0
Agricultural,SW3,sw3_1,6.1
Agricultural,SW3,sw3_2,3.1
Agricultural,SW3,sw3_3,4.0
Agricultural,SW3,sw3_4,5.0
Agricultural,SW3,sw3_5,5.5
Industrial,SW4,sw4_1,4.7
Industrial,SW4,sw4_2,5.1
Industrial,SW4,sw4_3,5.3
Industrial,SW4,sw4_4,5.7
Industrial,SW4,sw4_5,3.0
Industrial,SW5,sw5_1,4.7
Industrial,SW5,sw5_2,5.1
Industrial,SW5,sw5_3,6.2
Industrial,SW5,sw5_4,7.0
Industrial,SW5,sw5_5,4.3
Industrial,SW6,sw6_1,5.8
Industrial,SW6,sw6_2,6.1
Industrial,SW6,sw6_3,6.3
Industrial,SW6,sw6_4,5.5
Industrial,SW6,sw6_5,6.7
Industrial,SW7,sw4_1,5.2
Industrial,SW7,sw4_2,4.7
Industrial,SW7,sw4_3,5.6
Industrial,SW7,sw4_4,6.1
Industrial,SW7,sw4_5,4.0
